id,text,label,source,source_id
66,All authorized users once authenticated must be able to logon to the Disputes System,SECURITY,PROMISE,4
67,The Disputes System shall generate a User Report that details any new users that have been added and any changes to an existing user's access level. The report will be reviewed for auditing purposes.,SECURITY,PROMISE,4
68,All additions of new users and modifications to user's access shall be recorded on the User Report.,SECURITY,PROMISE,4
69,If a user account is revoked it can only be re-instantiated by the System Administrator.,SECURITY,PROMISE,4
70,Only the System Administrator shall be able to reset a revoked user logon account,SECURITY,PROMISE,4
71,The Disputes application shall manipulate and view business data. Users will not have direct access to data files or databases.,SECURITY,PROMISE,4
72,All updates to data files or database must be initiated from the Disputes System.,SECURITY,PROMISE,4
73,The product shall be easy to use by Adjusters and Collision Estimators. 95% of Adjusters and Collision Estimators shall find the product easy to use.,USABILITY,PROMISE,5
74,The product shall increase productivity of Collision Estimators. 80% of the Collision Estimators shall agree their productivity has increase within 1 month of using the product.,USABILITY,PROMISE,5
75,Users shall feel satisfied using the product. 85% of all users will be satisfied with the product.,USABILITY,PROMISE,5
76,The product shall be easy to learn by Adjusters and Collision Estimators. The product shall be learned with two days onsite training,USABILITY,PROMISE,5
77,The user shall easily locate instructions while using the product. User help can be found within 90% of the system.,USABILITY,PROMISE,5
78,The search for recycled parts shall take no longer than 15 seconds. The search results shall be returned in under 15 seconds.,PERFORMANCE,PROMISE,5
79,The search for the preferred repair facility shall take no longer than 8 seconds. The preferred repair facility is returned within 8 seconds,PERFORMANCE,PROMISE,5
80,The recycled parts audit report shall be returned to the user within 10 seconds. The audit report shall be returned within 10 seconds.,PERFORMANCE,PROMISE,5
81,The preferred repair facility ratings shall be saved within 5 seconds. The save shall occur within 5 seconds.,PERFORMANCE,PROMISE,5
82,The product shall adhere to the corporate online availability schedule. The application is brought down only within 98% of the scheduled outages per the availability schedule.,AVAILABILITY,PROMISE,5
83,The product shall achieve a 98% uptime. The product shall not fail more than 2% of the available online time.,AVAILABILITY,PROMISE,5
84,The product shall be able to handle up to 1500 simultaneous users. The system shall perform with 1500 users as a time.,SCALABILITY,PROMISE,5
85,The average number of recycled parts records per day shall be 50 000.,SCALABILITY,PROMISE,5
86,The product shall be able to handle 10 000 concurrent users within 2 years of the initial launch.,SCALABILITY,PROMISE,5
87,Only adjusters can request recycled parts audit reports. No users without an adjuster role shall request recycled parts audits.,SECURITY,PROMISE,5
88,Only adjusters with a supervisor role can update preferred repair facility ratings. Users without the supervisor role cannot access the repair facility ratings.,SECURITY,PROMISE,5
89,Only collision estimators shall search for recycled parts. Users without the collision estimator role shall not have access to the search for recycled parts.,SECURITY,PROMISE,5
90,Only valid data shall be entered into the system. No invalid data shall be entered into the system.,SECURITY,PROMISE,5
91,One insurance company shall not be able to view another insurance companys claim data.,SECURITY,PROMISE,5
92,The product shall free of computer viruses.,SECURITY,PROMISE,5
93,The system shall prevent malicious attacks including denial of service.,SECURITY,PROMISE,5
94,The product shall make the users want to use it. 80% of the users surveyed report they are regularly using the product after the first 2 weeks post-launch.,USABILITY,PROMISE,6
95,The product shall be easy to use. 90% of users will be able to successfully reserve a conference room within 5 minutes of product use.,USABILITY,PROMISE,6
96,The product shall give users feedback when necessary. 80% of the users surveyed report that the product accurately confirms their actions.,USABILITY,PROMISE,6
97,The product shall allow the user to select a chosen language from one of the target market countries.,USABILITY,PROMISE,6
98,The product shall allow for customization of start page and views preferences.,USABILITY,PROMISE,6
99,An employee will be able to successfully use the product within a few minutes. After informally navigating the product for less than 15 minutes users shall be able to successfully setup meetings and reserve conference rooms.,USABILITY,PROMISE,6
100,The product shall use a standard navigation menu familiar to most web users.,USABILITY,PROMISE,6
101,The product shall allow for intuitive searching of available conference rooms.,USABILITY,PROMISE,6
102,The product shall conform to the Americans with Disabilities Act.,USABILITY,PROMISE,6
103,The response shall be fast enough to avoid interrupting the user's flow of thought. 90% of tasks shall complete within 5 seconds. 98% of tasks shall complete within 8 seconds.,PERFORMANCE,PROMISE,6
104,Aside from server failure the software product shall achieve 99.99% up time.,AVAILABILITY,PROMISE,6
105,The product shall create an exception log of problems encountered within the product for transmission to our company for analysis and resolution.,FAULT TOLERANCE,PROMISE,6
106,The product shall be capable of handling up to 1 000 concurrent requests. This number will increase to 2 000 by Release 2. The concurrency capacity must be able to handle peak scheduling times such as early morning and late afternoon hours.,SCALABILITY,PROMISE,6
107,The product shall be able to process 10 000 transactions per hour within two years of its launch. This number will increase to 20 000 by Release 2.,SCALABILITY,PROMISE,6
108,The product shall be expected to operate for at least 5 years for each customer installation.,SCALABILITY,PROMISE,6
109,A new user must be able to be added to the system within 10 minutes. 90% of new users are able to log into the system within 10 minutes.,USABILITY,PROMISE,6
110,The product must be designed using Design Patterns and coding best practices. 90% of maintenance software developers are able to integrate new functionality into the product with 2 working days.,MAINTAINABILITY,PROMISE,6
111,The product must be highly configurable for use with various database management systems for the end users. 80% of end users are able to integrate new database management systems with the product without changing the product's software code.,MAINTAINABILITY,PROMISE,6
112,Maintenance releases will be offered to customers once a year. The releases shall take no longer than 5 minutes for 80% of the customer base to install.,MAINTAINABILITY,PROMISE,6
113,Every registered user will have access to the product's support site via the Internet. 70% of registered users shall find a solution to their problem within 5 minutes of using the support site.,USABILITY,PROMISE,6
114,The customer shall be able to easily integrate new building maps with the product throughout the product's lifecycle. Integration of new maps with the product shall be possible with little to no support from product support staff.,MAINTAINABILITY,PROMISE,6
115,The product shall be translated into foreign languages other than the target market countries' languages in future releases. For each emerging target market it shall take no more than 5 days to configure the product for that market's language.,USABILITY,PROMISE,6
116,The product shall ensure that only company employees or external users with company-approved user IDs may have product access. 100% of all logons shall be by either company employees or external users with company-approved user IDs.,SECURITY,PROMISE,6
117,Only managers are able to perform search queries for reservations by user. 100% of all search queries for reservations by user shall be from logons of only management logons.,SECURITY,PROMISE,6
118,The product shall ensure that the database's data corresponds to the data entered by the user. Each conference room reservation in the system will contain the same information as was entered by the user.,SECURITY,PROMISE,6
119,The product shall prevent the input of malicious data. The product and/or adjacent hardware/software systems' data shall remain 100% uncorrupted each time malicious data is input into the product.,SECURITY,PROMISE,6
120,The product and/or dependent databases/filesystems shall remain operational as a result of the input of malicious data. The product and/or dependent databases/filesystems shall not crash 100% of the time that malicious data is input into the product.,FAULT TOLERANCE,PROMISE,6
121,The product shall have the ability to receive automatic software updates as new threats emerge. 100% of customers will be able to receive automatic software updates transmitted to the installed product.,SECURITY,PROMISE,6
122,The language of the product shall accommodate all of the target market countries. 90% of survey respondents from each target market country will find that the language of the product is acceptable.,SCALABILITY,PROMISE,6
123,The product shall be able to display calendar dates and times according to the user's locale. 90% of survey respondents from each target market country will find that the date and time formatting of the product is correct.,USABILITY,PROMISE,6
124,Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.,PERFORMANCE,PROMISE,7
125,The System shall allow for a minimum of 6 users to work at the same time.,PERFORMANCE,PROMISE,7
126,The System shall maintain consistent security. Any changes in user passwords and/or permissions should take affect in all parts of the System.,SECURITY,PROMISE,7
127,The System shall granularly control access rights to all major subsystems. It should be possible to assign access rights to all subsystems independently.,SECURITY,PROMISE,7
128,Administrator shall be able to activate a pre-paid card via the Administration section in under 5 seconds.,PERFORMANCE,PROMISE,8
129,Customer shall be able to check the status of their prepaid card by entering in the PIN number in under 5 seconds.,PERFORMANCE,PROMISE,8
130,System shall let customers register on the website as a 'pay as you go' user in under 5 minutes.,PERFORMANCE,PROMISE,8
131,System shall let customers register on the website as a 'unlimited movie subscriber' user in under 10 minutes.,PERFORMANCE,PROMISE,8
132,System shall let existing customers log into the website with their email address and password in under 5 seconds.,PERFORMANCE,PROMISE,8
133,System shall let customers cancel their account process shall take no longer than 2 minutes. Database will mark the account as inactive and user will not be able to log into the website.,PERFORMANCE,PROMISE,8
134,System shall let administrator de-activate a customer account in under 1 minute. Customer will no longer be able to access the website.,PERFORMANCE,PROMISE,8
135,System shall let administrator add/remove movies on the website in under 5 minutes. Entered movie information will be stored in the database and will now be available on the website.,PERFORMANCE,PROMISE,8
136,System shall let the administrator add/remove categories on the website in under 5 minutes.,PERFORMANCE,PROMISE,8
137,System shall let Izogn Manager access sales and usage statistics in under 2 minutes.,PERFORMANCE,PROMISE,8
138,System shall let administrators generate unique pre-paid pins in under 2 minutes and generate an Excel file with the generated PINs.,PERFORMANCE,PROMISE,8
139,The product should be able to be used by 90% of novice users on the Internet.,USABILITY,PROMISE,8
140,Users should only have to navigate through a maximum of 4 pages to create an account with the website.,USABILITY,PROMISE,8
141,Users should be able to access their streaming movies in under 2 clicks after logging into the website.,USABILITY,PROMISE,8
142,An anonymous survey will show that 70% of customers are comfortable purchasing streaming movies after 2 weeks using the website.,USABILITY,PROMISE,8
143,An anonymous survey will show that 95% of customers are comfortable using and purchasing pre-paid cards after a month of using the system.,USABILITY,PROMISE,8
144,The product shall retain the customer's buying preferences and information.,USABILITY,PROMISE,8
145,The product shall be easy for customers with novice skills on the Internet to purchase and watch streaming movies. Customers should be able to purchase and watch a pre-determined movie in under 3 minutes.,USABILITY,PROMISE,8
146,The product shall use symbols and words that are naturally understandable by users familiar with websites,USABILITY,PROMISE,8
147,The website will use standard Internet conventions when interacting with the user.,USABILITY,PROMISE,8
148,Any interface between a user and the automated system shall have a maximum response time of 5 seconds unless noted by an exception below.,PERFORMANCE,PROMISE,8
149,When purchasing a streaming movie or pre-paid card via credit card the processing time should have a maximum response time of 15 seconds.,PERFORMANCE,PROMISE,8
150,When streaming a movie the buffering time should take no longer than 10 seconds (plus any latency on the user's connection.),PERFORMANCE,PROMISE,8
151,While streaming a movie buffering should only occur if there is latency in the user's connection.,PERFORMANCE,PROMISE,8
152,All credit card information will be secured on the server and only accessible by authorized Izogn administrators. Information will be encrypted in the database.,SECURITY,PROMISE,8
153,The website shall be available for use 24 hours per day 365 days per year.,AVAILABILITY,PROMISE,8
154,The website shall achieve 99.5% up time.,AVAILABILITY,PROMISE,8
155,All movies shall be streamed on demand at any time of the day.,AVAILABILITY,PROMISE,8
156,The website shall continue to operate if the streaming server goes down.,FAULT TOLERANCE,PROMISE,8
157,The website shall continue to operate if the payment gateway goes down.,FAULT TOLERANCE,PROMISE,8
158,The streaming server will support 50 simultaneous streaming connections.,SCALABILITY,PROMISE,8
159,The streaming server will support a maximum of 700 movies; new servers can be added to support more movies.,SCALABILITY,PROMISE,8
160,The server will support a maximum of 1 000 simultaneous users.,SCALABILITY,PROMISE,8
161,The website shall be capable of supporting 100 000 customers.,SCALABILITY,PROMISE,8
162,The product shall be expected to operate within the maximum maintenance budget for a minimum of 2 years.,MAINTAINABILITY,PROMISE,8
163,Promotional updates to the website should take a day to update.,MAINTAINABILITY,PROMISE,8
164,Izogn Administrator must be able to update the category listings on the website within 2 minutes.,PERFORMANCE,PROMISE,8
165,Izogn Administrator must be able to add new products to the website within 2 minutes.,PERFORMANCE,PROMISE,8
166,The system will provide a 24 hour 800 toll free number for support to its customers.,AVAILABILITY,PROMISE,8
167,The website will provide a help section with answers and solutions to common problems.,USABILITY,PROMISE,8
168,Velkat staff will be available for phone support between 7am-7pm M-F to provide technical support to the Izogn administrators.,AVAILABILITY,PROMISE,8
169,Only registered customers can purchase streaming movies.,SECURITY,PROMISE,8
170,A customer can only stream a movie if they purchased it and are within the 2 day viewing period.,SECURITY,PROMISE,8
171,Only authorized personnel can access customer records in the database.,SECURITY,PROMISE,8
172,Only administrators can activate a pre-paid card.,SECURITY,PROMISE,8
173,Only authorized personnel can access sales information.,SECURITY,PROMISE,8
174,The website shall prevent its data from being corrupted when incorrect data is entered in.,SECURITY,PROMISE,8
175,The website shall protect itself from intentional abuse and notify the administrator at all occurrences.,SECURITY,PROMISE,8
176,Data integrity scripts will be run on a weekly basis to verify the integrity of the database.,SECURITY,PROMISE,8
177,The website shall make its user aware of its information practices before collection data from them via a Privacy Policy accessible on all pages of the website.,SECURITY,PROMISE,8
178,The system shall notify customers of changes to its information policy.,SECURITY,PROMISE,8
179,The system shall reveal private information only in compliance with the organization's information policy.,SECURITY,PROMISE,8
180,All customer information will be stored on a secure database accessible only to authorized personnel.,SECURITY,PROMISE,8
181,All credit card information will be encrypted in the database.,SECURITY,PROMISE,8
182,The streaming server will have anti-virus software to prevent infection of malicious viruses.,SECURITY,PROMISE,8
183,Total lead cycle time must be completed in 5 minutes for 90% of lead volume between the business hours of 8AM CST to 8PM CST; then 3 minutes for 99% of lead volume during off business hours.,PERFORMANCE,PROMISE,9
184,No lead evaluation will complete in a time period longer than 25 seconds for 97% of all leads processed.,PERFORMANCE,PROMISE,9
185,For leads that process longer than 25 seconds the system will record the event and duration,PERFORMANCE,PROMISE,9
186,The process must fit within the processing time conditions set forth by the Auto Rep Assignment process in which a lead is assigned within 3 minutes of the total life cycle.,PERFORMANCE,PROMISE,9
187,Defect reports will be available to technical units on a 24x7 basis.,AVAILABILITY,PROMISE,9
188,Washing parameters will be updated during scheduled maintenance hours.,MAINTAINABILITY,PROMISE,9
189,The product shall be available 24 hours per day seven days per week.,AVAILABILITY,PROMISE,10
190,The product shall able to handle a large number of games simultaneously.,PERFORMANCE,PROMISE,10
191,The response time shall be fast enough to maintain the flow of the game. The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.,PERFORMANCE,PROMISE,10
192,The product shall protect the identity of the players. The product shall provide players no access to information that might reveal the identity of another player.,PERFORMANCE,PROMISE,10
193,The product shall be intuitive and self-explanatory. Nine out ten users shall be able to successfully complete a game with no training.,USABILITY,PROMISE,10
194,The product shall be available to players who understand English Spanish and French. The product shall allow the user to select the language upon accessing the product.,USABILITY,PROMISE,10
195,The product shall provide players no access to information that might reveal the identity of another player,SECURITY,PROMISE,10
196,The response time shall be fast enough to maintain the flow of the game. The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.,PERFORMANCE,PROMISE,10
197,The system shall be easy to use by callers and supervisors. Callers and supervisors must be able to accomplish any system task within 2 minutes.,USABILITY,PROMISE,11
198,The system shall be easy to learn by callers and supervisors. Callers and supervisors shall learn how to use the system within 10 minutes.,USABILITY,PROMISE,11
199,The system shall be responsive. At the DePaul TeleServices Center when a supervisor uses the system to view a callers schedule the system response time must be no more than 2 seconds 90% of the time and no more than 5 seconds the rest of the time.,PERFORMANCE,PROMISE,11
200,On a 56k connection the system response time for all operations must be no more than 6 seconds 90% of the time.,PERFORMANCE,PROMISE,11
201,On a 112k connection or faster the system response time for all operations must be no more than 3 seconds 90% of the time.,PERFORMANCE,PROMISE,11
202,The system shall have high availability every day of the year. The system must be available for use between 12:00AM and 6:00PM all days of the year.,AVAILABILITY,PROMISE,11
203,The system must be available for use between 7:00AM and 11:59PM all days of the year.,AVAILABILITY,PROMISE,11
204,The product shall be internet browser independent. The product must run using Internet Explorer and Netscape Navigator.,MAINTAINABILITY,PROMISE,11
205,The product shall ensure that only supervisors can advertise empty time slots. The product must ensure that supervisors are allowed to access advertise empty time slots.,SECURITY,PROMISE,11
206,The product shall ensure that only supervisors can enter a caller's schedule. The product must ensure that supervisors are allowed to access advertise empty time slots.,SECURITY,PROMISE,11
207,The product shall ensure that only supervisors can view schedule of all callers. The product must ensure that supervisors are allowed to access advertise empty time slots.,SECURITY,PROMISE,11
208,The product shall provide Monitoring Services. The product shall be easy for System Administrators and DBAs to use after two weeks of usage.,USABILITY,PROMISE,12
209,The product shall provide Error Tracking Services. The product shall help the System Administrators and DBAs to resolve transaction errors 99% of the time.,USABILITY,PROMISE,12
210,The product shall provide Portals. The product shall help System Administrators to analyze the transactions with ad-hoc reporting and KPIs (Key Performance Indicators),USABILITY,PROMISE,12
211,The product shall provide Asynchronous Messaging. The product shall provide asynchronous messaging to enable parallel processing and reduce the overhead in communications,PERFORMANCE,PROMISE,12
212,The product shall provide Multi-threading and Load Balancing. The product shall provide multi-threading technology as well as load balancing to overcome data load spikes and traffic.,PERFORMANCE,PROMISE,12
213,The product shall process messages within 2 seconds. The product shall have a maximum message processing time of 2 seconds,PERFORMANCE,PROMISE,12
214,The product shall poll the system for messages every second. The product shall poll the system for new messages at a maximum of every 1 second.,PERFORMANCE,PROMISE,12
215,The product shall provide Dynamic Change Support and Transparent resource addition. The product shall support Transparent Resource addition and Dynamic Change support to provide scalability and avoid service interruptions of more than 1 day.,PERFORMANCE,PROMISE,12
216,The product shall be available 99% of the time. Rationale: To avoid service interruption during busiest customer service response periods. The product shall be available 99.99% of the time for regular business days.,AVAILABILITY,PROMISE,12
217,The product shall be robust. The product shall have fault avoidance based on standards adoption.,FAULT TOLERANCE,PROMISE,12
218,The product shall be robust with fault tolerance. The product shall have fault tolerance by using recovery technique compensatory transaction and routing around failures.,FAULT TOLERANCE,PROMISE,12
219,The product shall be able to process all transactions. The product shall process minimum of 1 million transactions per year.,SCALABILITY,PROMISE,12
220,The product shall continue to operate during upgrade change or new resource addition. The product shall be able to continue to operate with no interruption in service due to new resource additions.,MAINTAINABILITY,PROMISE,12
221,The product shall be updated on a regular basis. The product will have a new major feature introduced every six months and quarterly maintenance releases every six months.,MAINTAINABILITY,PROMISE,12
222,The product shall operate with every platform. The product shall accommodate any new technology without any change in its architecture.,MAINTAINABILITY,PROMISE,12
223,The product shall have security. The product shall provide authentication and authorization.,SECURITY,PROMISE,12
224,The product shall information Security. The product shall enable privacy by encryption WS-Security and Integrity Checking.,SECURITY,PROMISE,12
225,The product shall have audit capabilities. The product shall store messages for a minimum of one year for audit and transaction tracking purposes.,SECURITY,PROMISE,12
226,The system must use a point and click interface. 100% of all selection and navigation functionality must be able to be activated/selected by either a mouse or a keyboard,USABILITY,PROMISE,13
227,The interface shall be easy to use. 90% of users should be able to successfully use the system to generate a report on their first use. The interface should adhere to IBM usability standards.,USABILITY,PROMISE,13
228,Rreports must be easy to generate. eports must be generated within one button click and exported within one button click (after selecting the report),USABILITY,PROMISE,13
229,A user shall be able to use the system without instruction after a short amount of time. After one use a user should understand and remember 90% of the system usage and navigation.,USABILITY,PROMISE,13
230,All CCR users shall receive training before the WCS system is deployed. One training session will be held for 100% of CCR users before system deployment (based on a CCR user being available),USABILITY,PROMISE,13
231,The WCS system shall use appropriate nomenclature and terminology as defined by the Corporate Community Grants organization. All interfaces and reports will undergo usability tests by CCR users.,USABILITY,PROMISE,13
232,The WCS system shall be available at all times as long as IBM's internal intranet W3 is accessible. The WCS system will be available 95% of the time IBM's internal intranet W3 is available.,AVAILABILITY,PROMISE,13
233,The WCS system shall have the ability to connect other designated WCS databases currently not included in the system.,SCALABILITY,PROMISE,13
234,The WCS system shall have the ability to include data for regions outside the United States and be accessed by users outside of the United States if approved by CCR management.,SCALABILITY,PROMISE,13
235,The WCS system must run queries to the WCS databases once again (on a specified day) to update the available data available to CCR users. Queries must be made to external databases for data refresh once a week.,MAINTAINABILITY,PROMISE,13
236,All changes updates and additions to the WCS system shall be updated in the WCS Developer and WCS User Guides. Every change must be reflected in WCS system documentation,MAINTAINABILITY,PROMISE,13
237,The system shall only be accessed by authorized Corporate Community Grants (CCR) employees. Users must be authenticated using their IBM intranet user name and password.,SECURITY,PROMISE,13
238,The WCS system shall not allow automatic logins by any user. Cookies containing WCS login information about a user will not be stored on a user's computer.,SECURITY,PROMISE,13
239,Each team owner will need to use a username and password in order to be authenticated to reach the team owner's page,SECURITY,PROMISE,14
240,The Commissioner will be the only authorized user per league to adjust league settings.,SECURITY,PROMISE,14
241,A new user shall be able to navigate through the league and team pages within 30 seconds of reaching the start-up page.,USABILITY,PROMISE,14
242,Users shall be able to reach the 'add' 'drop' and 'trade player' pages with one click from the team owner's page.,USABILITY,PROMISE,14
243,Users shall be able to view at least 25 NFL player statistics and points on each page.,USABILITY,PROMISE,14
244,The application shall ask the user to confirm dropping a player or trading a player before performing the action.,USABILITY,PROMISE,14
245,The application shall be able to complete every user transaction within one fourth of a second of receiving the request over the network.,PERFORMANCE,PROMISE,14
246,The application shall have a downtime of at most 10 minutes per year.,AVAILABILITY,PROMISE,14
247,Application updates shall occur between 3AM and 6 AM CST on Wednesday morning during the middle of the NFL season.,MAINTAINABILITY,PROMISE,14
248,New System version releases shall be released at the beginning of each NFL season.,MAINTAINABILITY,PROMISE,14
249,The RFS system should be available 24/7 especially during the budgeting period. The RFS system shall be available 90% of the time all year and 98% during the budgeting period. 2% of the time the system will become available within 1 hour of the time that the situation is reported.,AVAILABILITY,PROMISE,15
250,Changes to revenue and expense formulae must be applied to the RFS system every year prior to the budgeting process start. Revenue and expense formulae will be updated within one week of their receipt after which 2 weeks will be allotted to testing of the budget calculations to be conducted jointly by the project development team and PCG Finance.,MAINTAINABILITY,PROMISE,15
251,New branches/complexes/districts/regions and revenue/expense accounts added to the BDW must be reflected in the RFS system. 100% of the entities (mentioned above) available as of October month-end will be loaded into the RFS system prior to the budget start process.,MAINTAINABILITY,PROMISE,15
252,Only authorized user shall access the RFS system. ONLY users that exist in the UAS system with the RFS system assigned to their role(s) shall access the RFS system and use it.,SECURITY,PROMISE,15
253,User access should be limited to the permissions granted to their role(s) Each level in the PCG hierarchy will be assigned a role and users will be assigned to these roles. Access to functionality within RFS system is dependent on the privileges/permission assigned to the role..,SECURITY,PROMISE,15
254,The users should be able to easily use the system to successfully complete their budgets within the stipulated time for completion. With a week of training prior to product implementation 98% of the users shall complete their budgets within the stipulated time.,USABILITY,PROMISE,15
255,The product interface should be fast. The response time of the product interface should not exceed 2 seconds 90% of the time. For 10% of the time the response time should not be more than 10 seconds.not be more than 10 seconds.,PERFORMANCE,PROMISE,15
256,Employees shall be forced to change their password the next time they log in if they have not changed it within the length of time established as 'password expiration duration'.,SECURITY,QUEST,
