,author,closedAt,number,publishedAt,resourcePath,source,state,text,label
13,{'login': 'jpcarey'},2015-06-24T18:42:38Z,11362,2015-06-23T23:33:17Z,/ansible/ansible/issues/11362,ansible,CLOSED,"ec2 dynamic_inventory tag issue
The special characters escape to underscores in ec2.py does not appear to work poperly.
I have the following tag for an ec2 instance:
aws:cloudformation:stack-name => imdev-flask-3-2-298-l1FiTlA
Per the docs, this should translate to an underscore between stack and name: 'ec2_tag_aws_cloudformation_stack_name'
This does not work, and produced the following var undefined error:
One or more undefined variables: 'ec2_tag_aws_cloudformation_stack_name' is undefined
running ec2.py, the actual output is ""ec2_tag_aws_cloudformation_stack-name"": ""imdev-flask-3-2-298-l1FiTlA""
If I try to use in the ec2.py form, ansible will throw an error for the invalid character:
Failed to template msg=""{{ ec2_tag_aws_cloudformation_stack-name == removed_version }}"": Unable to look up a name or access an attribute in template string. Make sure your variable name does not contain invalid characters like '-'.
However, accessing through the hostvars allows reference to the item with the ""-"". Ex:
""{{ hostvars[inventory_hostname]['ec2_tag_aws_cloudformation_stack-name'] }}""",FAULT TOLERANCE
14,{'login': 'tartansandal'},2013-10-22T16:01:21Z,4608,2013-10-20T23:05:27Z,/ansible/ansible/issues/4608,ansible,CLOSED,"documented used of 'lookup' now generates variable undefined error 
The following documented use of the lookup plugin
now generates the following error:
I've traced this back to commit 5031104.",FAULT TOLERANCE
15,{'login': 'evgkrsk'},2019-01-25T16:25:15Z,13175,2015-11-16T01:06:20Z,/ansible/ansible/issues/13175,ansible,CLOSED,"Wrong diagnostics in ansible-galaxy on certificate issues
Issue Type:
Bug Report
Component Name
ansible-galaxy
Ansible Version:
Ansible Configuration:
Clean out-of-box configuration (on SOME OS).
Environment:
N/A. Generic, non-mainstream OS. In my case, ALT Linux Sisypus (unstable branch).
Summary:
On non-mainstream OS with non-standard SSL/TLS CA certificate paths (not in '/etc/ssl/certs', '/etc/pki/ca-trust/extracted/pem', '/etc/pki/tls/certs', '/usr/share/ca-certificates/cacert.org', '/etc/ansible' in my case) diagnostics on any problem with certificate check in ansible-galaxy is just plain wrong (ERROR! Failed to get data from the API server (https://galaxy.ansible.com/api/): HTTP Error 401: UNAUTHORIZED).
Steps To Reproduce:
Try to install any galaxy role just after clean ansible install (ansible-galaxy will fail to check correct SSL/TLS certificate of galaxy.ansible.com with wrong error message).
Expected Results:
Actual Results:
Sanity check:
Workarounds:
None. Old workaround for ansible-1.9.x NOT working anymore:
",SECURITY
16,,,22531,2017-03-11T19:19:29Z,/ansible/ansible/issues/22531,ansible,OPEN,"Trailing new lines aren't kept by default by template module
Bug Report
Jinja
(referring to commit 1998edd)
When trying to wrap a conditional inside a template in an one liner, the line break will be skipped if there's no trailing character (e.g. like a whitespace to workaround this issue)
Create a template like this:
",FAULT TOLERANCE
17,{'login': 'ahes'},2016-02-02T15:23:36Z,14243,2016-02-01T15:55:33Z,/ansible/ansible/issues/14243,ansible,CLOSED,"pre_tasks not working while gathering=smart in ansible.cfg
Issue Type:
Bug report
Ansible Version:
Ansible Configuration:
Environment:
Mac OS X
Summary:
When gathering=smart used in ansible.cfg pre_tasks are not running.
Steps To Reproduce:
ansible.cfg:
play.yml:
Expected Results:
Actual Results:
",NONE
18,{'login': 'dp4qb'},2016-06-01T18:46:20Z,10828,2015-04-24T09:18:17Z,/ansible/ansible/issues/10828,ansible,CLOSED,"Issue with 'include' statements and role path
My ansible's 'include' statement was working fine, but recently after including ymls in subfolder, it somehow brokes the role's path.
Here's the tree of my project:
site.yml:
roles/webservers/tasks/main.yml:
Prior to this point, it works just fine. But the next step, after including the ""profile""/main.yml, brokes the role's path.
roles/webservers/tasks/dev/main.yml:
results an error:
So, after this 'include', it somehow thinks that role's root is located in 'webservers/tasks/', instead of 'webservers/'. But in the same time, it sees the variables in 'webservers/vars/' path.
Moreover, it was working fine and recently just broke. I haven't updated ansible, nor edited it's parameters, just updated the playbook.
If I specify the 'src=../../templates/httpd_conf.j2' it works fine, but since this behaviour just appeared like from nowhere, I can't rely on this path.
I've managed to use this workaround: template: src=""{{ role_path }}/templates/httpd_conf.j2"" dest=/etc/httpd/conf/httpd.conf But that's a workaround. The reason of auto-pathing is broke is still undiscovered.
Ansilbe's version: 1.9.0.1",FAULT TOLERANCE
19,{'login': 'ankitmth'},2016-11-16T09:21:57Z,14151,2016-01-27T11:08:52Z,/ansible/ansible/issues/14151,ansible,CLOSED,"Ansible 2.0.0.2 : ""ERROR! file or module does not exist"" while running a playbook with script module
After installing ansible 2.0.0.2 from rpm:
I get the below error on running the playbook which uses the script module:
The Playbook in question: -
",FAULT TOLERANCE
20,{'login': 'ktosiek'},2015-06-28T01:05:40Z,8213,2014-07-20T18:52:22Z,/ansible/ansible/issues/8213,ansible,CLOSED,"Variable interpolation in hostvars
Issue Type: Feature Idea
Ansible Version: ansible 1.6.6
Environment: N/A
Summary:
When variables are accessed through hostvars, jinja2 expressions inside those variables should be interpolated.
There was discussion about this issue on ansible-project mailing list: https://groups.google.com/forum/?utm_medium=email&utm_source=footer#!msg/ansible-project/pdWFR2Q8U8E/m6sgB1C5K1YJ
And here is a filter that shows simple implementation (but might be pretty slow, and I think it should be in hostvars not a filter): https://groups.google.com/group/ansible-project/attach/16318558e74073ae/hostvars.py?part=0.1&view=1
Steps To Reproduce:
Given vars like:
The values for both {{ bar }} and {{ hostvars[some_host].bar }} should be ""x is y"".
Currently the value of {{ hostvars[some_host].bar }} would be (literally) ""x is {{ foo }}"".",NONE
21,{'login': 'basictheprogram'},2017-04-04T17:31:07Z,23249,2017-04-04T02:23:33Z,/ansible/ansible/issues/23249,ansible,CLOSED,"win_chocolatey installing powershell when powershell4 is installed and state: latest
Bug Report
win_chocolatey
Ansible configuration from git clone
Control host macOS 10.12.3
Managed host Windows 7
Attempting to upgrade powershell4 to powershell5 using the win_chocolatey module with state: latest
Might be related to #21873
Related to #22892
Have chocolatey installed
Install powershell4
Powershell4 would be upgraded to Powershell5
https://gist.github.com/basictheprogram/74b48320e386d308a69f82f7c90019b5
choco_summary.log
https://gist.github.com/basictheprogram/de146516fe292a43630c10e7df205f38
chocolatey.log
https://gist.github.com/basictheprogram/5cc240c1f89fba6ef7ac769ff5e41a01",MAINTAINABILITY
22,{'login': 'michalzubkowicz'},2016-05-30T15:43:10Z,16045,2016-05-30T08:07:08Z,/ansible/ansible/issues/16045,ansible,CLOSED,"Docker module: argument memory_limit is of type <type 'str'> and we were unable to convert to int"" on Ansible 2.0.2.0-1.el7
Bug Report
Centos 7
After upgrade to ansible 2.0.2.0 it's not possible to enter memory_limit as human readable string (ie. 265MB) only bytes are accepted.
try set memory_limit: 256MB
Should accept string as early versions
Is showing error
argument memory_limit is of type <type 'str'> and we were unable to convert to int",USABILITY
23,{'login': 'landryb'},2017-06-23T16:25:42Z,25910,2017-06-20T15:19:14Z,/ansible/ansible/issues/25910,ansible,CLOSED,"openbsd_pkg: add support for pkgname%branch syntax
Bug Report
openbsd_pkg
OpenBSD -current or 6.1
Trying to use the pkgname%branch syntax fails
installing openldap-server 2.44 from the databases/openldap branch. works fine in a shell:
The openbsd_pkg module errors out.
",NONE
24,{'login': 'jean-christophe-manciot'},2017-09-15T14:49:22Z,26146,2017-06-27T15:21:12Z,/ansible/ansible/issues/26146,ansible,CLOSED,"Error with paramiko 2.1.0 <--> 2.2.1: Unicode-objects must be encoded before hashing
Bug Report
ios_command
but I suspect all commands are impacted
Both latest stable & unstable versions:
inventory = ./hosts
library = /home/actionmystique/Ansible/git-yang-networkop/ansible-101/library
forks = 1000
gathering = explicit
gather_timeout = 30
roles_path = /home/actionmystique/Ansible/Roles/roles
private_role_vars = yes
hash_behaviour = merge
log_path = /var/log/ansible.log
retry_files_enabled = False
show_custom_stats = True
timeout = 60
pipelining = True
connect_timeout = 60
connect_retries = 30
connect_interval = 1
host: Ubuntu 17.04 4.10
target:
IOS-XEv 16.4.1
paramiko: 2.2.1
cf. title, for instance with a show running-config command.
I am able to manually ssh into the remote device.
Is the paramiko version too recent?
Structure passed as ""provider"": connections.ssh
Role: ios_pull_config:
Playbook:
Startup & running configurations from the target IOSv node.
ACTUAL RESULTS: CLI
ACTUAL RESULTS: log
ACTUAL RESULTS: Manual SSH
WORKAROUND: older paramiko
The latest paramiko version is 2.2.1.
When downgrading to paramiko 2.0.6, this issue is ... gone.
I recommend to put a more stringent requirement on paramiko in requirements.txt until this issue is solved with more recent paramiko, for instance:
The issue begins with paramiko 2.1.0+",NONE
25,{'login': 'svpace'},2016-05-16T23:18:13Z,15864,2016-05-15T16:19:55Z,/ansible/ansible/issues/15864,ansible,CLOSED,"[modules-core: file] Allow for ""directory"" or ""link"" in place of ""file"" with state 
Feature Idea
using ""file"" to check for directories (or links) is not very intuitive.
It would be great if
could be used as an alias for
",USABILITY
26,{'login': 'psi-4ward'},2017-11-22T00:36:04Z,13887,2016-01-14T13:32:19Z,/ansible/ansible/issues/13887,ansible,CLOSED,"GATHERING FACTS fails
Guest is CentOS 7 Vagrant BOX
When i run vagrant provision or ansible-playbook ... gathering facts fails MOST time:
anyone konws why?
For me the output looks like incomplete JSON",FAULT TOLERANCE
27,{'login': 'philltomlinson'},2015-11-11T12:00:28Z,13062,2015-11-06T16:24:37Z,/ansible/ansible/issues/13062,ansible,CLOSED,"Shell with_items Prompts for ssh key password on second command
I have seen something when running the shell module along with a with_items where it now prompts for a key pass phrase. It runs the first command with no password prompt but then on the second one it prompts for a key password and fails the task:
When running the playbook you get prompted for a key passphrase:
This previously worked on the v2.0.0-0.3.beta1 tag but no longer works on later tags and on the dev branch.",SECURITY
28,{'login': 'gholms'},2014-02-13T20:42:30Z,3978,2013-08-30T23:20:12Z,/ansible/ansible/issues/3978,ansible,CLOSED,"Add a way to make boto not verify SSL certs
Starting a year ago with version 2.6.0, boto began verifying servers' SSL certificates by default. Since most Eucalyptus and Nova installs have self-signed certs, this breaks Ansible's AWS-related modules when they're pointed at one of those clouds using a relatively current version of boto.
They added a validate_certs=False arg to calls like boto.connect_ec2_endpoint one can use to disable this behavior, but right now Ansible doesn't have a way to trigger that. Modules like ec2, ec2_elb, and so on would benefit from a parameter that lets one turn cert verification off when they need to talk to services with self-signed certs.
EPEL bug that triggered this report: https://bugzilla.redhat.com/show_bug.cgi?id=1003105",SECURITY
29,{'login': 'deimosfr'},2016-07-12T18:17:33Z,9811,2014-12-14T18:46:45Z,/ansible/ansible/issues/9811,ansible,CLOSED,"ansible-galaxy file parameter full path
Hi,
It would be nice when you setup a galaxy dependencies file like this:
to be able to specify the name of the final module path. The goal is when i launch it like this:
I get a folder 'roles/nginx' which is better than having 'roles/jdauphant.nginx'
Thanks",NONE
30,{'login': 'bobrik'},2015-04-13T17:38:43Z,10673,2015-04-13T10:01:05Z,/ansible/ansible/issues/10673,ansible,CLOSED,"JSON output gets truncated on spaces
Issue Type:
Bug report
Ansible Version:
and
Environment:
N/A
Summary:
copy: content=""{{ some_data|to_json }}\n"" dest=/tmp/wtf.yaml results in truncated json.
Steps To Reproduce:
Example playbook:
Resulting file:
Expected Results:
File should not be truncated.
Actual Results:
File gets truncated.",FAULT TOLERANCE
31,{'login': 'omame'},2017-04-12T07:10:59Z,14148,2016-01-27T09:50:24Z,/ansible/ansible/issues/14148,ansible,CLOSED,"Misleading error when a file isn't found in a role
Issue Type:
Bug Report
Ansible Version:
ansible 2.0.0.2
config file = /home/user/ansible/ansible.cfg
configured module search path = Default w/o overrides
Ansible Configuration:
Clean.
Environment:
Ubuntu 14.04.
Summary:
When a copy or assemble operation can't access the src file in a role a misleading error suggests to look at the playbooks directory.
Steps To Reproduce:
Expected Results:
Actual Results:
",USABILITY
32,{'login': 'profhase'},2017-04-25T14:49:20Z,23955,2017-04-25T09:35:05Z,/ansible/ansible/issues/23955,ansible,CLOSED,"Copy module shows 'changed' in check mode
Bug Report
copy
NA
NA
When using the copy module to copy a file into a directory on the target system, the check mode yields changed though there is no change on the target system. The problem only occurs if the path
is given without trailing slash.
Call in check mode after file exists:
changed: false
changed: true
This effect does not occur if dest is given with a trailing slash:
",MAINTAINABILITY
33,{'login': 'sascha-egerer'},2015-09-17T15:13:35Z,12412,2015-09-17T08:42:11Z,/ansible/ansible/issues/12412,ansible,CLOSED,"Ansible fails to load Yaml file with equal-sign as value
Ansible fails when loading a Yaml file like this:
The Yaml file is valid (see http://www.yamllint.com/) but ansible fails with ERROR: Syntax Error while loading YAML script ...
Putting quotes around the equal-sign works but i can't do that in my case as this file will be generated by a Yaml parser. So using a workaround is not an option.",FAULT TOLERANCE
34,{'login': 'fulminemizzega'},2018-09-25T20:09:44Z,22320,2017-03-06T16:06:43Z,/ansible/ansible/issues/22320,ansible,CLOSED,"fedora 25 dnf installed packages not marked as user installed
Bug Report
dnf
ansible.cfg
Fedora 25
When running the playbook below not every package is marked as user installed, this means for example that running ""dnf autoremove"" afterwards will remove packages installed by the playbook.
Run the following playbook, then run ""dnf history userinstalled"":
dnf history userinstalled output:
All the packages in the playbook should be listed as user installed, so that 'dnf autoremove' will not remove them. A possible workaround is running 'dnf mark '.
Plus, if you support also dnf autoremove #20333, then interesting things will happen.",MAINTAINABILITY
35,{'login': 'bcomnes'},2015-07-02T13:38:15Z,10077,2015-01-23T20:12:23Z,/ansible/ansible/issues/10077,ansible,CLOSED,"`defaults/main.yml` overriding variables `include_vars:` in roles
In defaults/main.yml:
In vars/Darwin.yml:
In tasks/main.yml:
Assume this is run on a Darwin machine we get
where I would expect to get baz.
The work around is to ditch the defaults folder and instead load it with a defaults file with with_first_found:
Maybe I am doing something backwards here, but the defaults folder seem to take higher precedence over including variables selectively included in the task.",NONE
36,{'login': 'samvarankashyap'},2016-08-10T18:35:42Z,17033,2016-08-10T17:33:25Z,/ansible/ansible/issues/17033,ansible,CLOSED,"ansible os_server module doesnot work with async_status
Bug Report
module : os_server
N/A
Ansible is unable to parse the os_server module output using async_status .
The following tasks are to be written
name: ""Async:: provision/deprovision os_server resources by looping on count""
os_server:
state: ""{{ instance.4 }}""
auth:
auth_url: ""{{ instance.0 }}""
username: ""{{ instance.1 }}""
password: ""{{ instance.2 }}""
project_name: ""{{ instance.3 }}""
name: ""{{ instance.9 }}{{ instance.10 }}{{ instance.11 }}""
image: ""{{ instance.5 }}""
key_name: ""{{ instance.6 }}""
api_timeout: 99999
flavor: ""{{ instance.7 }}""
network: ""{{ instance.8 }}""
with_nested:
[""{{ endpoint }}""]
[""{{ username }}""]
[""{{ password }}""]
[""{{ project }}""]
[""{{ state }}""]
[""{{ res_def['image'] }}""]
[""{{ res_def['keypair'] }}""]
[""{{ res_def['flavor'] }}""]
[""{{ res_def['networks'][0] }}""]
[""{{ res_grp_name }}""]
[""{{ res_def['res_name'] }}""]
""{{ res_count.stdout }}""
loop_control:
loop_var: instance
async: 1000
poll: 0
register: res_def_output
when: async == true
name: 'check on fire and forget task'
async_status: jid={{ item.ansible_job_id }}
register: job_result
until: job_result.finished
retries: 30
with_items: ""{{ res_def_output['results'] }}""
Gives following error :
expected results are the output of the booted instance
Ansible is unable to parse the output of the job
",NONE
37,{'login': 'asad-at-srt'},2013-04-06T21:42:10Z,2585,2013-04-06T14:39:44Z,/ansible/ansible/issues/2585,ansible,CLOSED,"Please enhance when: to accept a list
The semantics should be an AND of the items in the list
when:
expression-1
expression-2
should be equivalent to:
when: expression-1 and expression-2
Justification:
Long/complex expressions are made eminently more readable by breaking them down into components.
This is quite general, any boolean expression can be transformed into an AND-form with negation: a or b = ^(^a and ^b)",NONE
38,{'login': 'mmoya'},2013-03-04T04:39:39Z,2290,2013-03-03T20:48:14Z,/ansible/ansible/issues/2290,ansible,CLOSED,"include fails to expand host variables
The playbook:
this works as long as othertasks is defined inline.
When othertasks is removed from playbook and defined in the inventory file or in host_vars, debug continues working but include fails.
Error is ERROR: file not found: ./tasks/$othertasks.yml.",FAULT TOLERANCE
39,{'login': 'garyrutland'},2015-11-20T13:13:37Z,13225,2015-11-20T09:27:24Z,/ansible/ansible/issues/13225,ansible,CLOSED,"Copying files with mode 400 uploads with a mode of 620
Hi,
I did post this in the Google forum, but my post never seemed to appear so asking here now instead.
This is probably something that isn't recommended but I'm trying to copy some PEM keys to a destination server so that they can be used by that server at a later time.
I need to make sure that they are set to a mode of 400 as well, so using the following code:
I would hope and expect to see the following when listing the files on the destination server:
But instead I'm seeing the following:
Any particular reason why the files being uploaded are actually getting the incorrect permissions?
Or is there a different approach to making sure these files have the correct permissions?
Thanks,
Gary",NONE
40,{'login': 'zshamrock'},2017-11-22T00:36:51Z,13674,2015-12-26T12:50:57Z,/ansible/ansible/issues/13674,ansible,CLOSED,"tags are not inherented by multiple include levels
Issue Type:
Bug Report (or feature request, depends on how you see it)
Ansible Version:
1.9.4
Ansible Configuration:
Default
Environment:
Debian 8.2 (jessie)
Summary:
See the project structure below
Steps To Reproduce:
I have the following project structure:
[1] main.yml has content:
- include: media/main.yml tags=media
[2] main.yml has content:
Expected Results:
I expect all tasks from media/main.yml will inherit all tags specified in tasks/main.yml. So, if I run ansible-playbook -i hosts site.yml --tags media, it will run all tasks specified in media/main.yml, and $ ansible-playbook --list-tags -i hosts site.yml reports this tag as well
Actual Results:
It fails with the following error:
P.S.1: The whole source code of the project is available here https://github.com/zshamrock/ididitagain
P.S.2: As a workaround (or the right way to do?), move specific subdirectories, like media, dev, dot-files, etc, in its own roles, and assign tags with role instead, as mentioned here http://docs.ansible.com/ansible/playbooks_tags.html in my site.yml?
",FAULT TOLERANCE
41,{'login': 'zentavr'},2015-12-14T21:00:05Z,13547,2015-12-14T20:52:06Z,/ansible/ansible/issues/13547,ansible,CLOSED,"Seems like default() filter does not work with ansible 2.0.0@devel
Issue Type: Bug Report
Ansible Version: 2.0.0 devel@8d16638
Ansible Configuration:
Environment: Mac OS X El Capitan 10.11.1
Summary
I have a task like this:
...where ec2_instances is:
When I execute the task - I face an error when we reach the block without defined (that redis cluster in my case):
The error is:
Expected Results: workeable default() filter",NONE
